
项目代码;项目名称;总金额;3D;3D占比;施工;施工占比;其他;其他占比
"X-21-032652;上海期货交易所智慧园区二期2021年度;2,253,800.00;495,000.00;21.96%;0.00;0.009%;367,764.00;16.32%"
"X-20-027421;西安咸阳国际机场三期建工程信息工程（三标段）项目;9,300.000.00;317.385.00;3.419%;0.00;0.00;3,024,201.16;32.52%"
"X-23-038706;云南电网有限麦任公司丽江供电局2023边缘计算节点信息机房综合监控项目;1,050.000.00;238,883.00;22.75%;0.00;0.00%;307,763.00;29.31%"
X-22-036814;国网湖北省电力有限公司信息通信公司大数据中心基础设施管理系统项目;1.386.786.98;194000.00;13.999%;0.00;0.009%;344.611.06;24.859%
"X.22.036789;深圳市前海开发投资控股有限公司前海信息枢纽大夏数据中心DCM系统项目;1330000.00;165.720.00;1246%;0.00;0.009;365,700.00;27.50%"
"X-21-033543;云南电网有限贵任公司瑞丽供电局度控制中心新大楼基础设施综合监控项目;1,600.000.00;160.000.00;10.00%;0.00;0.00%;523,737.00;32.73%"
"X-22-038168;广东电网测评实验室批完善2021年琶洲调度中心数字化实验建设项目;3,584.557.00;158,760.00;4.43%;0.00;0.00;2,822,605.00;78.74%"
"X-22-035390;西北部湾银行两地三中心动环系统优化升级采购项目;1,083,783.00;130.000.00;12.009%;0.00;0.00%;681,373.00;62.87%"
"X-22-037754;中国联通福建产业互联网科技园DCM/动环监控项目;2253.178.97;111,480.00;4.959%;0.00;0.00%;1,406,167.32;62.41%"
"X-22-036439;西安素云号数据中心动环监控项目;1.201.550.00;97.752.28;8.149%;0.00;0.00%;594,146.59;49.45%"
"X-22-036129;国网河北省电力有限公司雄安新区调度大楼自动化机房弱电系统建设动环监控项目;550,000.00;89.000.00;16.18%;0.00;0.00%;36,157.00;6.57%"
"X-20-029214;北京国家税务总局机房扩建项目动环监控系统;343.020.00;83,840.00;24.449%;0.00;0.00;18,627.00;5.43%"
"X-20-030432;珠海格力集团有限公司高栏港制造业智慧数据中心DCIM项目;2,100.000.00;76,900.00;3.66%;0.00;0.00;2,023,100.00;96.34%"
"X-22-038531;中国邮政储替银行合肥分中心机房楼A区机房监控管理系统;4,380,680.21;76.400.00;1.74%;0.00;0.00%;1,006,100.21;22.97%"
"X-21-033857;北京某部队（涉密）信息服务保障中心建设EPC总承包项目DCIM;361,442.00;63.730.00;17.63%;0.00;0.00%;106,396.00;29.44%"
"X-22-035585;文昌首都在线航天超算科技有限公司数据中心监控系统;1,410.000.00;55,753.52;3.95%;0.00;0.00%;733,240.78;52.00%"
"X-21-034302;成都民航科技创新示范区一期工程A-02地块数据中心工程暂估价项目DCM综合管理系统（一期）·动;988,397.76;52.567.50;5.32%;0.00;0.00%;323,058.26;32.69%"
"X-22-036157;福州大学机房环境监控与3D系统项目;128,268.00;47.941.00;37.38%;0.00;0.00;35,397.00;27.60%"
"X-22-038426;中国广电江西网络有限公司机房环境监控系统;290.000.00;45.000.00;15.529%;0.00;0.00%;110,787.00;38.20%"
"X-22-037662;云南电网有限麦任公司西双版纳供电局2022年调度自动化主站机房环境监控系统改造项目;365,000.00;35,000.00;9.599%;0.00;0.00%;330,.000.00;90.419%"
"X-23-039253;中国邮政储蓄银行北京分中心机房监控管理系统;1,252,701.55;26,.600.00;2.12%;0.00;0.00%;684,765.55;54.66%"
"X-23-040028;深圳华大基因科技有限公司天津机房动环监控项目;150.000.00;26,400.00;17.60%;0.00;0.00%;48,759.30;32.51%"
"X-23-040131;上海梅林正广和股份有限公司数据中心动环监控项目;100,883.00;25.000.00;24.78%;0.00;0.00%;10,053.00;9.97%"
"X-22-037862;上海银行浦西总部大楼主机房和营业厅机房环境监控项目;204,400.00;20.550.00;10.05%;0.00;0.00%;42,042.00;20.57%"
"X-22-038539;南京大学国有资产管理处仙林校区大数据与人工智能科研楼中心机房DCM系统;371.233.00;14.688.00;3.96%;0.00;0.00%;95,829.12;25.81%"
"X-23-039820;镇江文化广电产业集团有限公司3层机房DCIM系统项目;187.564.00;14,390.00;7.67%;0.00;0.00%;71,808.00;38.28%"
X-23-038877;四川省衣村信用社联合社一期升级改造项目;1.00;0.00;0.009%;0.00;0.00%;1.00;100.00%
