序号,协议测点名称,标准测点名称,变比(乘法）,解析函数,转换函数,状态映射,功能码,寄存器号,寄存器别名,bit位,标准化ID,单位,数据类型,是否展示,优先级
0,输入-机柜功率,机柜功率,,,,,2,0,,,600,,float,,
1,输入-使用率,使用率,,,,,2,1,,,601,,float,,
2,输入-房间机柜数,房间机柜数,,,,,2,2,,,602,,float,,
3,输入-单机柜面积,单机柜面积,,,,,2,3,,,603,,float,,
4,输入-楼层房间数,楼层房间数,,,,,2,4,,,604,,float,,
5,输入-楼栋楼层数,楼栋楼层数,,,,,2,5,,,605,,float,,
6,输入-园区楼栋数,园区楼栋数,,,,,2,6,,,606,,float,,
7,输入-pue,pue,,,,,2,7,,,607,,float,,
8,输入-wue,wue,,,,,2,8,,,608,,float,,
9,输入-rer,rer,,,,,2,9,,,609,,float,,
10,输入-平均电价,平均电价,,,,,2,10,,,610,,float,,
11,园区-机柜数,机柜数,,,,,2,11,,,611,,float,,
12,园区-已用机柜,已用机柜,,,,,2,12,,,612,,float,,
13,园区-可用机柜,可用机柜,,,,,2,13,,,613,,float,,
14,园区-plf,plf,,,,,2,14,,,614,,float,,
15,园区-clf,clf,,,,,2,15,,,615,,float,,
16,园区-olf,olf,,,,,2,16,,,616,,float,,
17,园区-pue,pue,,,,,2,17,,,617,,float,,
18,园区-wue,wue,,,,,2,18,,,618,,float,,
19,园区-cue,cue,,,,,2,19,,,619,,float,,
20,园区-耗电,耗电,,,,,2,20,,,620,,float,,
21,园区-耗水,耗水,,,,,2,21,,,621,,float,,
22,园区-耗标煤,耗标煤,,,,,2,22,,,622,,float,,
23,园区-碳排,碳排,,,,,2,23,,,623,,float,,
24,园区-房间数,房间数,,,,,2,24,,,624,,float,,
25,园区-楼层数,楼层数,,,,,2,25,,,625,,float,,
26,园区-楼栋数,楼栋数,,,,,2,26,,,626,,float,,
27,园区-IT功率,IT功率,,,,,2,27,,,627,,float,,
28,园区-日总功率,日总功率,,,,,2,28,,,628,,float,,
29,园区-日IT能耗,日IT能耗,,,,,2,29,,,629,,float,,
30,园区-日总能耗,日总能耗,,,,,2,30,,,630,,float,,
31,园区-总电费,总电费,,,,,2,31,,,631,,float,,
32,园区-制冷能耗,制冷能耗,,,,,2,32,,,632,,float,,
33,园区-制冷量,制冷量,,,,,2,33,,,633,,float,,
34,园区-SCOP,SCOP,,,,,2,34,,,634,,float,,
35,园区-燃油储备,燃油储备,,,,,2,35,,,635,,float,,
36,园区-UPS数,UPS数,,,,,2,36,,,636,,float,,
37,园区-单UPS容量,单UPS容量,,,,,2,37,,,637,,float,,
38,园区-电池总容量,电池总容量,,,,,2,38,,,638,,float,,
39,楼栋-机柜数,机柜数,,,,,2,39,,,639,,float,,
40,楼栋-已用机柜,已用机柜,,,,,2,40,,,640,,float,,
41,楼栋-可用机柜,可用机柜,,,,,2,41,,,641,,float,,
42,楼栋-plf,plf,,,,,2,42,,,642,,float,,
43,楼栋-clf,clf,,,,,2,43,,,643,,float,,
44,楼栋-olf,olf,,,,,2,44,,,644,,float,,
45,楼栋-IT功率,IT功率,,,,,2,45,,,645,,float,,
46,楼栋-日总功率,日总功率,,,,,2,46,,,646,,float,,
47,楼栋-日IT能耗,日IT能耗,,,,,2,47,,,647,,float,,
48,楼栋-日总能耗,日总能耗,,,,,2,48,,,648,,float,,
49,楼栋-制冷量,制冷量,,,,,2,49,,,649,,float,,
50,楼栋-UPS数,UPS数,,,,,2,50,,,650,,float,,
51,楼层-机柜数,机柜数,,,,,2,51,,,651,,float,,
52,楼层-已用机柜,已用机柜,,,,,2,52,,,652,,float,,
53,楼层-可用机柜,可用机柜,,,,,2,53,,,653,,float,,
54,楼层-IT功率,IT功率,,,,,2,54,,,654,,float,,
55,楼层-日总功率,日总功率,,,,,2,55,,,655,,float,,
56,楼层-日IT能耗,日IT能耗,,,,,2,56,,,656,,float,,
57,楼层-日总能耗,日总能耗,,,,,2,57,,,657,,float,,
58,楼层-制冷量,制冷量,,,,,2,58,,,658,,float,,
59,房间-机柜数,机柜数,,,,,2,59,,,659,,float,,
60,房间-已用机柜,已用机柜,,,,,2,60,,,660,,float,,
61,房间-可用机柜,可用机柜,,,,,2,61,,,661,,float,,
62,房间-IT功率,IT功率,,,,,2,62,,,662,,float,,
63,房间-日总功率,日总功率,,,,,2,63,,,663,,float,,
64,房间-日IT能耗,日IT能耗,,,,,2,64,,,664,,float,,
65,房间-日总能耗,日总能耗,,,,,2,65,,,665,,float,,
66,房间-制冷量,制冷量,,,,,2,66,,,666,,float,,
67,市电-装机,装机,,,,,2,67,,,667,,float,,
68,供水-设计流量,设计流量,,,,,2,68,,,668,,float,,
69,供水-实际流量,实际流量,,,,,2,69,,,669,,float,,
70,供水-设定压力值,设定压力值,,,,,2,70,,,670,,float,,
71,能耗-月度耗电,月度耗电,,,,,2,71,,,671,,float,,
72,资产-网口数量,网口数量,,,,,2,72,,,672,,float,,
73,资产-已用网口,已用网口,,,,,2,73,,,673,,float,,
